time,Sentences
2011-03-25,"[""Syrians shout '' freedom '' during a protest at Dael region , near the city of Deraa , southern Syria , March 25 , 2011 ."", 'President Bashar al-Assad , facing his deepest crisis in 11 years in power after security forces fired on protesters on Friday in the southern town of Deraa , freed 260 prisoners in an apparent bid to placate a swelling protest movement .', '`` I have been in touch with people in Syria since last night , using three cell phones and constantly sitting online .', 'The state news agency quoted a government source as saying security forces had not fired at protesters but that an armed group had taken over rooftops and fired on citizens and security forces , killing five people since Friday .', 'Following are some comments on what may lie ahead for Syria .', 'Group D result : Romania : 1-Costel Pantilimon ; 13-Cornel Rapa , 4-Gabriel Tamas , 15-Dorin Goian , 3-Razvan Rat ; 11-Gabriel Torje -LRB-']"
2011-03-26,"['Sat Mar 26 , 2011 9:49 am EDT -LRB- Reuters -RRB- - Syrian President Bashar al-Assad is facing the deepest crisis of his 11 years in power and protesters were gathering again on Saturday in the southern city of Deraa after security forces fired on demonstrators on Friday .', 'March 26 -LRB- Reuters', 'DERAA , Syria | Sat Mar 26 , 2011 11:08 pm GMT DERAA , Syria -LRB- Reuters -RRB- - Syrian security forces have killed six people in two days of anti-government protests in the key port city of Latakia , reformist activists living abroad told Reuters on Saturday .', ""Syrian rights activist Ammar Qurabi told Reuters in Cairo : `` There have been at least two killed -LRB- in Latakia -RRB- today after security forces opened fire on protesters trying to torch the Baath party building . ''"", 'On Saturday a human rights lawyer said 260 prisoners , mostly Islamists , had been freed after serving at least three-quarters of their sentences .', 'Some of the dead protesters were buried on Saturday in Deraa and nearby villages , residents said .', 'Speaking in an interview taped on Saturday , Clinton said she deplored the violence in Syria but the circumstances were different in Libya , where Libyan leader Muammar Gaddafi had used his air force and heavy armor against civilians .', 'Following are some comments on what may lie ahead for Syria .', '-LRB-', '-RRB- - Bosnia 2 Romania 1 - Euro 2012', 'Group D result : Romania : 1-Costel Pantilimon ; 13-Cornel Rapa , 4-Gabriel Tamas , 15-Dorin Goian , 3-Razvan Rat ; 11-Gabriel Torje -LRB-', 'He has deployed the army for the first time in the heavily fortified northwest port city of Latakia .', 'Human Rights Watch has said at least 61 people have died in Deraa , the flashpoint of the protests .']"
2011-03-27,"['Human Rights Watch has said at least 61 people have died in Deraa , the flashpoint of the protests .']"
2011-03-28,['A March 28 study by computer security firm McAfee and U.S. government consulting company SAIC said the most significant threat reported by organizations when protecting information was data leaked accidentally or intentionally by employees .']
2011-03-29,"['-- On Tuesday , Assad mobilized thousands of Syrian supporters in rallies across the country and also accepted the resignation of his government to try to deflect the challenge to his rule .', '-- The soft-spoken Assad took office after the death of his father , Hafez al-Assad , who brooked no dissent and refused to bend in the Arab-Israeli conflict for 30 years . --']"
2011-03-30,"['-LRB- Reuters -RRB- - Syrian President Bashar al-Assad , 45 , gave his first speech on Wednesday since anti-government protesters took to the streets nearly two weeks ago .', '-LRB- Reuters']"
2011-03-31,"[""`` The translation of the Bible has had enormous consequences not just for England but America and this is still significant today . ''"", ""Some phrases in the King James Bible are still used today , such as `` a cross to bear , '' `` a broken heart '' and a `` law unto themselves . ''"", '-RRB- - A printing error helped a 12th century English village church realize it owned a rare 400-year-old King James Bible , the book that changed the world .']"
2011-04-02,"[""He added to Saturday 's hat-trick when he scored the only goal in United 's 1-0 win over Chelsea at Stamford Bridge in the first leg of their Champions League quarter-final on Wednesday .""]"
2011-04-04,"[""The U.N. peacekeeping force in Ivory Coast , supported by the French military , had targeted Gbagbo 's heavy weapons capabilities on Monday with attack helicopters after civilians were killed in shelling ."", ""Attacks centred on military bases in the city , but also on rocket launchers `` very close '' to Gbagbo 's Cocody district residence , U.N. peacekeeping chief Alain Le Roy said on Monday ."", ""Several thousand pro-Ouattara fighters entered Abidjan from the north on Monday in a convoy of transporters , pick-ups mounted with machineguns and 4x4s loaded with fighters bearing AK-47 assault rifles and rocket launchers -- a `` final assault '' ."", ""In many professions , a period as an intern can greatly increase an applicant 's chances of winning a permanent job .""]"
2011-04-05,"['LONDON | Tue Apr 5 , 2011 12:08 am BST LONDON -LRB- Reuters -RRB- - Internships in the civil service and business should be offered as widely as possible to boost social mobility and stop them being monopolised by well-connected families , Deputy Prime Minister Nick Clegg said Tuesday .', ""Reuters -RRB- - Ivory Coast 's Laurent Gbagbo was negotiating the terms of his departure on Tuesday following a fierce assault by forces loyal to his rival and backed by U.N. and French helicopter air strikes ."", ""The conflict drove cocoa prices lower on Tuesday as dealers bet on a swift end to Gbagbo 's rule and a resumption of exports ."", 'The United Nations human rights office in Geneva expressed concern on Tuesday over the killings of dozens of civilians in Abidjan , amid reports of heavy weapons used in populated areas .', 'A United Nations internal document seen by Reuters said Gbagbo had surrendered .', ""AMMAN -LRB- Reuters -RRB- - Senior Syrian army ranks are packed with loyal members of President Bashar al-Assad 's Alawite minority , reducing any prospect of military pressure on him to stand aside if protests grow , military experts say .""]"
2011-04-06,"[""AMMAN -LRB- Reuters -RRB- - Senior Syrian army ranks are packed with loyal members of President Bashar al-Assad 's Alawite minority , reducing any prospect of military pressure on him to stand aside if protests grow , military experts say ."", '-LRB-']"
2011-04-07,"['LONDON | Thu Apr 7 , 2011 6:14 pm BST LONDON', 'BST SANAA\\/CAIRO -LRB-']"
2011-04-08,"['SANAA\\/CAIRO | Fri Apr 8 , 2011 6:16 pm', ""In Cairo 's Tahrir Square , perhaps the spiritual home of the Arab protest movement , crowds demanded Mubarak 's prosecution as discontent with military rule grows ; but in Oman heavy security prevented a planned demonstration after Friday prayers ."", 'TOKYO | Fri Apr 8 , 2011 1:30 pm BST TOKYO', 'The trade ministry also called for 20 percent power cuts by small-scale industrial power users served by quake-hit Tokyo Electric Power and Tohoku Electric Power , while household cuts were set at 15 to 20 percent , in draft proposals released on Friday .', 'Tokyo Electric , still struggling with a prolonged safety crisis at its Fukushima nuclear complex , said on Friday that it would be able to meet power demand for the next two months , although just barely .', 'BST SANAA\\/CAIRO -LRB-', '-LRB- Reuters -RRB- - Japan announced power reduction targets for Tokyo and north Japan that will require big manufacturers and other large-scale users to cut peak summer consumption by one-fourth as it vowed to avoid rolling blackouts that could hobble the economy .']"
2011-04-09,"[""Rooney , who will also miss the home Premier League match against Fulham on Saturday , has been punished for his four-letter rant into a live camera during United 's 4-2 league win at West Ham United last weekend ."", 'If United win the semi-final , a trip to Wembley for the final would beckon and they will have an early chance to get a feel for the turf this Saturday when they face lcoal rivals Manchester City in their FA Cup semi-final .']"
2011-04-10,"[""Reuters -RRB- - Team by team analysis of Sunday 's Malaysia Formula One Grand Prix -LRB- listed in current championship order"", ""Both drivers were delighted to make the starting grid for Sunday 's race after finishing inside the 107 percent qualifying time for the first time this season but both cars were retired by the team for safety reasons ."", 'The author is a Reuters Breakingviews columnist .', 'The opinions expressed are her own .', ""LONDON -- Syria 's crackdown will stamp on its economic dream .""]"
2011-04-11,"['KUALA LUMPUR , April 11 | Mon Apr 11 ,', '2011 9:12 am BST KUALA LUMPUR , April 11 -LRB-', 'The author is a Reuters Breakingviews columnist .', 'The opinions expressed are her own .', ""LONDON -- Syria 's crackdown will stamp on its economic dream .""]"
2011-04-12,"[""The England striker is free to play in the return leg next Tuesday as that game is under UEFA 's control and not the FA 's ."", ""`` I think we 've hit our form , '' said Ferguson after Tuesday 's 2-1 victory at Old Trafford ."", ""Ferdinand , who started limping early in Tuesday 's 2-1 win at old trafford but battled on , was just one of several key figures who were outstanding in a team whose cohesion is growing ."", ""`` He -LRB- Rooney -RRB- is enjoying the position he 's playing in at the moment because it has given him a lot of freedom to use his energy , in that position you do need energy , '' Ferguson told a news conference after Tuesday 's victory ."", 'The UN says the conflict has cost more than 9,000 lives since it began a year ago .', 'England -LRB- Reuters -RRB- - Manchester United have begun to peak at the perfect time as they charge towards a possible repeat of their 1999 treble after an accomplished win over Chelsea secured a Champions League semi-final spot .', 'Much of their season has been characterised by a knack of grinding out results without playing particularly well but the performance over both legs of a 3-1 aggregate victory against the London side was all about style and class .']"
2011-04-13,"['MANCHESTER , England | Wed Apr 13 , 2011 2:20 pm BST MANCHESTER ,', ""You 've seen it in the second half at West Ham -LRB- a 4-2 win after being 2-0 down at halftime -RRB- and the -LRB- first leg -RRB- performance at Chelsea , plus the performance tonight . ''"", 'England -LRB- Reuters -RRB- - Manchester United have begun to peak at the perfect time as they charge towards a possible repeat of their 1999 treble after an accomplished win over Chelsea secured a Champions League semi-final spot .', 'Much of their season has been characterised by a knack of grinding out results without playing particularly well but the performance over both legs of a 3-1 aggregate victory against the London side was all about style and class .']"
2011-04-15,"['GAZA | Fri Apr 15 , 2011 12:49 pm BST GAZA -LRB-', ""Human Right Watch said Assad `` has the opportunity to prove his intentions by allowing -LRB- Friday 's -RRB- protests to proceed without violent repression ."", 'Reuters -RRB- - Palestinians in the Gaza Strip are used to violence , but not the brutal murder of a foreign sympathiser shown blindfolded in the hours before his execution .']"
2011-04-16,"['Reuters -RRB- - Manchester United striker Wayne Rooney will miss the FA Cup semi-final against Manchester City on April 16 after he lost an appeal against a two-match ban imposed by the English FA for swearing into a TV camera .', ""Zvonareva had little sympathy for the holders and after crushing Errani 6-0 6-2 in Saturday 's opener was just as dominant on Sunday ."", ""So maybe that 's why I was a bit more nervous and probably made a few more mistakes than yesterday . ''"", ""but it was not good enough to win the match , '' added the Italian , who also lost 6-2 6-7 6-1 to Kuznetsova in Saturday 's singles ."", '-- Jonathan is declared winner of the April 16 presidential election with 59 percent of the vote but Buhari , who polled 32 percent , refuses to accept the outcome . --', 'BST MOSCOW -LRB-']"
2011-04-17,"['MOSCOW | Sun Apr 17 , 2011 8:42 pm', 'BST MOSCOW -LRB-']"
2011-04-18,"['Yet the unrest , which rights groups say has cost more than 200 lives , including 17 on Monday , shows no sign of abating .', 'The United States , its hands full in Afghanistan , Iraq and Libya , said on Monday it was not working to undermine the Syrian government -- although the Washington Post , citing leaked U.S. diplomatic cables , said Syrian exiles and other dissidents had received up to $ 6 million in U.S. funds since 2006 .', ""Residents organized neighborhood patrols after 21 protesters were shot dead Monday and Tuesday by security police and gunmen known as ` al-shabbiha ' ."", 'A Scot from Glasgow who joined Reuters in 1952', "", he drove over 500 miles -LRB- 800 km -RRB- in fog on crumbling roads from Warsaw to Budapest in October 1956 to be on the spot to break the news when the Soviet Army put down Hungary 's anti-communist uprising ."", 'Assad and his father before him have ruled Syria under a tough emergency law in force since 1963 , bolstered by the Baath party , the military and an array of fearsome security agencies .']"
2011-04-19,"[""GENEVA | Tue Apr 19 , 2011 7:01 pm BST GENEVA -LRB- Reuters -RRB- - Ronald `` Ronnie '' Farquhar , who covered the East-West Cold War for Reuters from almost every East European capital and Beijing in the 1950s and 1960s , died in Geneva on Tuesday , aged 88 , his family said ."", 'BEIRUT | Tue Apr 19 , 2011 6:25 am EDT BEIRUT -LRB- Reuters -RRB- - Syrian President Bashar al-Assad , facing the gravest challenge of his 11 years in power , has tried repression , economic handouts and promises of reform to quell an unprecedented month-long wave of popular protests .', 'A Scot from Glasgow who joined Reuters in 1952', '-LRB- Reuters -RRB- - Economic optimism in Britain has risen to its highest level since last July following surprise falls in unemployment and inflation , a poll published on Wednesday showed .']"
2011-04-20,['AMMAN -LRB- Reuters']
2011-04-21,"[""In Thursday 's historic decrees , according to state TV and the Syrian Arab News Agency -LRB- Sana -RRB- , President Assad : Lifted the 1962 emergency law Enacted a new law legalising peaceful demonstration"", ""The prayers will test whether President Bashar al-Assad 's decision Thursday to lift emergency law , imposed by his Baath Party when it took power in a coup 48 years ago , will defuse mass discontent with repression and corruption ."", 'A decree Assad signed Thursday that lifted emergency law is seen by the opposition as little more than symbolic , since other laws still give entrenched security forces wide powers .', 'On Thursday , ahead of mass protests that broke out again on Friday , Assad ended a draconian state of emergency , in place for 48 years , that allowed blanket repression with impunity .', 'Assad lifted a 48-year state of emergency on Thursday but activists say violence the following day , when 100 protesters were killed , showed he was not serious about reform .', 'On April 21 Assad ended 48 years of emergency law and scrapped a hated state security court , but the killing of 100 protesters the next day seemed to make these moves a mockery .', 'In a major concession , he lifted the hated emergency law on 21 April .', 'The Syrian authorities are trying to quell an unprecedented wave of demonstrations Syrian President Bashar al-Assad has signed decrees ending 48 years of emergency rule .', 'The repeal of the emergency law was a key demand of protesters .', 'Credit : Reuters\\/Syrian TV via Reuters TV', 'AMMAN -LRB- Reuters']"
2011-04-22,"[""SHARM EL-SHEIKH , Egypt | Fri Apr 22 , 2011 5:15 pm BST SHARM EL-SHEIKH , Egypt -LRB- Reuters -RRB- - Hotel worker Meena George rejoiced when a popular revolt ousted Egypt 's autocratic president , but since the tourists have stopped coming , his joy has given way to fear and desperation ."", 'Reuters -RRB- - President Bashar al-Assad is in a quandary as the challenge to his autocratic rule grows in the streets of Syria :', 'Credit : Reuters\\/Amateur Video via Reuters TV']"
2011-04-24,"['Video filmed by Syrian activists shows tanks and soldiers purportedly near Deraa where mass protests were underway Sunday .', 'Apr 24 - Amateur video purports to show Syrian protesters under fire , with several seriously injured .', ""On Sunday , Bahrain 's crown prince said he would not attend the wedding because of unrest in the Gulf Arab kingdom , defusing a potentially embarrassing row over his invitation ."", 'In Deraa on Sunday , witnesses said that security forces had opened fire in the city , shooting indiscriminately , even though no protests were being held at the time .', '16-Dylan Hartley , 17-Alex Corbisiero , 18-Tom Palmer , 19-Nick Easter , 20-Richard Wigglesworth , 21-Toby Flood , 22-Matt Banahan .', 'Last updated at 17:55 GMT Help Syrian security forces have arrested dozens of anti-government activists following the protests of the past few days which have reportedly left over 100 people dead .', 'The new transport corridor will run from Uzbekistan across Turkmenistan and then to the Gulf via Iran , bypassing chronically unstable Afghanistan next door .', 'An authoritarian Arab ruler unleashes his security forces and irregular militia gunmen to crush peaceful pro-democracy protests , killing hundreds of people including women and children .', 'Does the West a -RRB- issue statements condemning the excessive use of force ; b -RRB- seek U.N. sanctions and an International Criminal Court investigation ; c -RRB- provide practical support for pro-democracy protesters ,']"
2011-04-25,"['\\* Central Asia rich in resources but landlocked \\* New transit link could be part of North-South project By Marat Gurt ASHGABAT , April 25 -LRB- Reuters -RRB-', '- Turkmenistan and Uzbekistan agreed on Monday with Iran , Qatar and Oman to create a transit rail route linking energy-rich but landlocked Central Asia to the Gulf .', 'LONDON | Mon Apr 25 , 2011 7:45 pm BST LONDON -LRB-', 'WASHINGTON | Mon Apr 25 , 2011 7:32 pm EDT', 'al-Assad to end a violent crackdown on protesters , a U.S. official said on Monday .', ""The United States is considering targeted sanctions against Assad 's government and on Monday , President Barack Obama conferred with Erdogan about the turmoil ."", ""The United States has condemned Assad 's use of force -- he sent army tanks into Deraa and two suburbs of Damascus on April 25 -- but Western nations which launched air strikes on Muammar Gaddafi 's Libya have not acted against the Syrian leader ."", 'The new transport corridor will run from Uzbekistan across Turkmenistan and then to the Gulf via Iran , bypassing chronically unstable Afghanistan next door .', 'PARIS -LRB- Reuters -RRB- -', 'Does the West a -RRB- issue statements condemning the excessive use of force ; b -RRB- seek U.N. sanctions and an International Criminal Court investigation ; c -RRB- provide practical support for pro-democracy protesters ,', 'Reuters -RRB- -', 'WASHINGTON -LRB-', 'Reuters', 'By Fawaz Gerges Middle East analyst , LSE Protests have been staged in front of Syrian embassies across the world', 'The Syrian regime has dramatically intensified its crackdown against the protesters in an effort to crush the opposition .', '-LRB- Reuters -RRB- - Soaring jet fuel costs pounded Delta Air Lines -LRB- DAL .', ""`` Our friends in the West , in Turkey , in the Arab world , if they want to help us , then they can do that by ... putting the clearest possible pressure on the Syrian regime to stop targeting civilians , ''"", '-LRB-']"
2011-04-26,"['ISTANBUL -LRB- Reuters -RRB- - Members of the Syrian opposition meeting in Istanbul on Tuesday pleaded for international help to persuade President Bashar al-Assad to halt a brutal crackdown on a popular revolt .', '-LRB- Reuters -RRB- - Soaring jet fuel costs pounded Delta Air Lines -LRB- DAL .', '-LRB-', '-RRB-', 'EDT BEIRUT -LRB- Reuters', '-RRB- -', '-RRB- -']"
2011-04-27,"['BEIRUT | Wed Apr 27 , 2011 7:44 am EDT BEIRUT -LRB- Reuters', 'BEIRUT | Wed Apr 27 , 2011 10:32 am', ""Updates with reserve interest decision -RRB- TIRANA , April 27 -LRB- Reuters -RRB- - Albania 's central bank kept interest rates unchanged at 5.25 percent on Wednesday and said it will stop paying banks interest on the hard currency deposit reserves to encourage more dealings in Albanian leks ."", 'BEIRUT | Wed Apr 27 ,', ""2011 10:19 am EDT BEIRUT -LRB- Reuters -RRB- - Syrian President Bashar al-Assad , who had boasted his country was immune to the unrest lashing the Arab world 's autocrats , is now fighting for political survival ."", 'The International Monetary Fund said on April 27 Syria was set for 3 percent growth in 2011 versus 3.2 percent in 2010 , with inflation reaching 6 percent against 4.4 percent last year and the fiscal deficit widening to 6.8 percent of GDP from 4.8 .', '8:12 am BST GELSENKIRCHEN , Germany -LRB- Reuters', '-RRB-', 'EDT BEIRUT -LRB- Reuters', '-RRB- -', '\\* Albania cenbank keeps rates on hold at 5.25 pct \\* Cenbank will pay zero interest for deposit reserves -LRB-', 'The Central Bank raised rates by 0.25 percent last month after pressure from high fuel and food prices drove inflation up .', '-RRB- -', '-LRB- Reuters -RRB- - Wholesale UK gas prices should fall this summer as liquefied natural gas shipments rapidly replenish plentiful stocks , helping soften the blow of record high transport fuel prices for battered British business .', 'But the current futures market is bullish so even if 50,000 barrels per day -LRB-', ""-LRB- Reuters -RRB- - China released its 2010 census results on Thursday , the first comprehensive review of the country 's demographics in a decade .""]"
2011-04-28,"['LONDON | Thu Apr 28 , 2011 12:30 pm BST LONDON', 'LONDON | Thu Apr 28 , 2011 10:19 am EDT LONDON -LRB- Reuters -RRB- - High world oil futures prices could rise yet further if the European Union puts sanctions on Syrian oil this week , although the country exports modest amounts and the quality is low , analysts and traders said .', ""bpd -RRB- go out , prices will go ballistic , '' an oil trader with a major bank said Thursday ."", 'Brent oil futures traded above $ 125 a barrel Thursday , not far from their highest level since August 2008 .', ""LONDON | Thu Apr 28 , 2011 11:01 pm BST LONDON -LRB- Reuters -RRB- - Crowds camped out in London and foreign dignitaries flew in from around the world for Friday 's wedding of Prince William and Kate Middleton , a service full of pomp and ceremony that has thrust the monarchy to center stage ."", '-LRB- Reuters -RRB- - Wholesale UK gas prices should fall this summer as liquefied natural gas shipments rapidly replenish plentiful stocks , helping soften the blow of record high transport fuel prices for battered British business .', 'But the current futures market is bullish so even if 50,000 barrels per day -LRB-', ""-LRB- Reuters -RRB- - China released its 2010 census results on Thursday , the first comprehensive review of the country 's demographics in a decade ."", '-RRB-', ""- A Namibian high court ruled in favor of a contract held by commodities trader Glencore to import half of the African country 's fuel which the government had terminated last year , The Namibian newspaper reported on Friday .""]"
2011-04-29,['-RRB-']
2011-04-30,"['AMMAN | Sat Apr 30 , 2011 6:33 pm EDT', 'On Saturday , tanks shelled the old quarter of the southern city and security forces stormed the Omari mosque , a focal point for protests .', ""Maher shelled and machine-gunned Deraa 's old quarter on Saturday , residents said ."", ""AMMAN -LRB- Reuters -RRB- - Women and children in the besieged Syrian city of Deraa chanted `` God is greatest against the tyrant '' from rooftops in the night after troops backed by tanks intensified a crackdown on the city , a resident said ."", ""Troops stormed into Deraa , cradle of a six-week-old uprising against President Bashar al-Assad 's authoritarian rule , a week ago to try to crush protests that have spread across the country of 20 million .""]"
2011-05-01,"[""Prime Minister , David Cameron , speaks on the BBC 's Andrew Marr Show , in London May 1 , 2011 ."", 'The U.N. mission in Afghanistan also said it was concerned by the increasing use of children in the decade-long war , particularly after recording the youngest suicide bomber -- a 12-year-old who killed three civilians and injured 12 on May 1 .', 'BST RAMALLAH\\/GAZA -LRB-', 'Reuters -RRB- -']"
