time,Sentences
2010-03-23,"['Tris Cotterill | 16:55 UK time , Tuesday , 23 March 2010', 'We are recording the first show of series two today which is very exciting but we managed to grab Russell a few seconds to ask him another of your questions , this time from @marysmith1992 .', 'At 18:40 23rd Mar 2010 , jenny wrote : If you could go to Disney World with any celebrity alive today , who would it be and why ?', 'That card you found on stage tonight was from me , so was the stig :', 'In order to see this content you need to have both Javascript enabled and Flash installed .']"
2010-03-24,"['At 01:20 24th Mar 2010 , Tanya wrote : Happy Birthday Russell -LRB- for yesterday -RRB- .', 'At 10:19 24th Mar 2010 , fizzylizzy21 wrote : This was front page news last week : direct quote', 'At 20:49 24th Mar 2010 , Gemma wrote : I know its a day late but HAPPY 30th BIRTHDAY :', 'I send my love At 20:58 24th Mar 2010']"
2010-03-25,"['At 15:45 25th', 'Mar 2010 , frescoandfallow wrote : Its the look on the face of the man in the studio that made me laugh At 18:44 25th', 'Mar 2010 , Liam wrote : I heard about a rollercoster that is supposed to so scary that people who go on it get offered free life cover .']"
2010-03-28,"['Here are a few news stories I have found amusing At 23:29 28th Mar 2010 , jade wrote : heyyah russell i like this joke i heard when cherel coles song parachute came on -LRB- soz cant spell -RRB-', 'The trial is set to begin on 28 March and is expected to last six weeks .']"
2010-06-14,"['Jackson is due to be posthumously inducted into the Apollo Legends Hall of Fame at a ceremony in New York on 14 June .', 'He was in court on Monday with his family for a hearing in the case of Dr Conrad Murray .', '14 June 2010', ""Michael Jackson 's family were in court for the decision The doctor accused of giving Michael Jackson a lethal dose of anesthetic will be allowed to work in California as he awaits trial , a court has ruled ."", 'During a brief procedural hearing , a Los Angeles judge said he did not have the authority to ban Dr Conrad Murray .', ""Members of the popstar 's family were inside court to hear the ruling .""]"
2010-06-15,"['Jackson , 48 , was taken to Huntington Memorial Hospital in Pasadena on Tuesday , according to the Associated Press news agency .', 'Randy Jackson is the second youngest of the Jackson clan Randy Jackson , brother of the late pop star Michael Jackson , has been admitted to hospital with chest pains .']"
2010-06-19,"['Meanwhile , prisoners in the Philippines were to mark the anniversary by staging a version of Thriller for invited members of the public on Saturday .']"
2010-06-24,"[""Michael Jackson was ` murdered for money ' , says sister Page last updated at 08:58 GMT , Thursday , 24 June 2010 09:58"", ""UK Michael Jackson was murdered for money , according to his sister LaToya LaToya Jackson has claimed her brother Michael was murdered because he was `` worth so much more dead than alive '' .""]"
2010-06-25,"[""The artefact could go under the hammer on June 25 - the first anniversary of the singer 's death in Los Angeles ."", ""25 June -RRB- marks the one year anniversary of the Thriller singer 's death with fans organising tributes around the globe ."", ""25 June 2010 Michael Jackson 's father , Joseph , files a wrongful death lawsuit against the physician ."", ""The death of the music superstar prompted an outpouring of grief from fans around the world and resulted in the singer 's doctor , Conrad Murray , being charged with involuntary manslaughter ."", ""Fans around the world marked one year since the singer 's death Pop star Michael Jackson 's father has filed a wrongful death lawsuit against the doctor charged with giving him a lethal overdose one year ago ."", ""The suit was filed as fans around the world marked the first anniversary of Jackson 's death at the age of 50 ."", 'By Peter Bowes BBC News , Los Angeles Fans sing outside the Jackson family home']"
2010-06-26,"[""Jackson family members are expected to attend a gala event , `` Forever Michael , '' at a Beverly Hills hotel on Saturday .""]"
2010-08-23,"['Dr Murray is due to appear in court again on 23 August , when Judge Michael Pastor is expected to set a date for a preliminary hearing , which should start within 60 days of that date .']"
2010-09-15,"[""Michael Jackson 's mother sues""]"
2010-09-27,['Opening statements are expected to begin on September 27 and the trial is likely to last four to six weeks .']
2010-10-08,"['The 8 October gig at the Millennium Stadium was announced by producers Global Live Events on Monday .', 'Katherine Jackson has announced a tribute concert for Cardiff on 8 October', ""Jackson 's mother Katherine and his sister LaToya have backed plans for the Michael Forever Tribute concert at the Millennium Stadium on 8 October ."", 'Ms Jackson is the latest act to be added to the bill for the Michael Forever concert at the Millennium Stadium on 8 October .']"
2010-12-08,['8 December 2010 California medical board allows Dr Murray to keep his medical licence .']
2010-12-17,['The auction is scheduled to take place on 17 December in the US .']
2010-12-25,"['But the opening episode fared less well than Extras , which averaged 3.67 million viewers for its second series , and peaked with five million for the feature-length Christmas finale .']"
2010-12-29,"[""`` They do n't want to say it but that 's the direction in which they are going , '' he said on Wednesday .""]"
2011-01-04,"['In the courtroom in Los Angeles on Tuesday , prosecutor David Walgren said that when Dr Murray realized the singer had died , he ordered a security guard to collect medical paraphernalia and other items before having him call the authorities .', ""Also on Tuesday , Jackson 's former personal assistant Michael Williams testified that as the singer 's body lay in bed , Jackson manager Frank Dileo told his children : `` Daddy had a heart attack and died . ''"", '4 January 2011 Preliminary hearings begin .', ""Michael Jackson doctor Conrad Murray ` hid drug dose ' Dr Murray , shown here in February , joined Jackson 's entourage to get him fit for London concerts Michael Jackson 's doctor tried to hide the fact that he had given the singer a powerful anesthetic shortly before he died , a prosecutor has said ."", 'At a preliminary hearing , the prosecutor said Dr Conrad Murray phoned paramedics only after Jackson had died .', ""Prosecutors say Dr Murray 's negligence in treating the singer for insomnia led to his death aged 50 in June 2009 ."", 'Help', ""A bodyguard to Michael Jackson has testified that the singer 's doctor ordered him to clean up medical paraphernalia in the moments after he died ."", ""The prosecution claim Doctor Conrad Murray 's negligence while treating the singer for insomnia was the cause of the singer 's death ."", ""Conrad Murray 's lawyers say he did not give Michael Jackson anything that would have killed him ."", ""Guard ` cleaned up ' after Michael Jackson drug death Alberto Alvarez , left , testified that Dr Murray had said the singer `` had a bad reaction ''"", ""A bodyguard to Michael Jackson has testified the singer 's doctor ordered him to clean up medical paraphernalia in the moments after he died ."", ""And a paramedic said Dr Conrad Murray did not mention he had given Jackson propofol , an anesthetic found to have caused the singer 's death .""]"
2011-01-05,"[""On Wednesday , bodyguard Alberto Alvarez testified that Dr Murray had summoned him to the singer 's bedroom , telling him something had gone wrong and ordering him to clean up medicine vials and intravenous bags , then afterward to call paramedics ."", 'Also on Wednesday , paramedic Richard Senneff said Dr Murray did not mention he had administered propofol , but said he was treating the singer for dehydration .', ""A bodyguard to Michael Jackson has testified that the singer 's doctor ordered him to clean up medical paraphernalia in the moments after he died ."", ""Guard ` cleaned up ' after Michael Jackson drug death Alberto Alvarez , left , testified that Dr Murray had said the singer `` had a bad reaction ''"", ""A bodyguard to Michael Jackson has testified the singer 's doctor ordered him to clean up medical paraphernalia in the moments after he died ."", ""And a paramedic said Dr Conrad Murray did not mention he had given Jackson propofol , an anesthetic found to have caused the singer 's death .""]"
2011-01-06,"['In Los Angeles on Thursday , paramedic Martin Blount testified that Dr Murray cleaned up vials of the painkiller lidocaine from the bedroom where the singer died shortly after he said that he had not given Jackson any medications .', 'Also , emergency room Dr Richelle Cooper testified on Thursday that Dr Murray told her only that he had given Jackson lorazepam , a sedative .', 'And an emergency room doctor said Dr Conrad Murray did not inform her he had given the singer a powerful anesthetic before his death of a drug overdose .']"
2011-01-11,"['11 January 2011', ""Michael Jackson ` threatened to cancel concerts ' Dr Murray was bailed after pleading not guilty to involuntary manslaughter in February 2010 Michael Jackson told his doctor on the day he died he would have to cancel his comeback concerts unless he had a dose of propofol , a court has heard ."", 'Dr Conrad Murray told police he gave Jackson the anesthetic after a night administering lesser drugs to help him sleep , detective Orlando Martinez said .', 'Prosecutors at the preliminary hearing in Los Angeles have said the drugs combination was lethal and accuse Dr Murray of involuntary manslaughter .', ""Michael Jackson 's doctor to be tried for manslaughter Conrad Murray -LRB-"", 'c -RRB- faces up to four years in prison if convicted A judge has ordered the personal doctor of Michael Jackson to stand trial for involuntary manslaughter .', 'Judge Michael Pastor gave the ruling against Dr Conrad Murray at a preliminary hearing in Los Angeles .', ""Michael Jackson 's physician to stand trial for manslaughter Dr Conrad Murray 's medical licence was also suspended by the judge A judge in Los Angeles has ordered the personal doctor of Michael Jackson to stand trial over the singer 's death in 2009 ."", 'Dr Conrad Murray is accused of involuntary manslaugher and has pleaded not guilty to this charge .', 'Prosecution witnesses said Dr Murray had acted outside the general standard of medical care by giving Michael Jackson a powerful anesthetic to help him sleep .']"
2011-01-12,"['Steven Gaydos is executive editor of Variety Magazine and begins by telling the World Today Michael Jackson was very dependent on drugs .', ""It 's Wednesday January the 12th ."", 'World News for Schools :12', 'January Hi there', "", I 'm Leah from the BBC World News for Schools .""]"
2011-01-13,"['People are fleeing to evacuation centres and tens of thousands of houses are expected to be under water when flood levels peak this evening .', ""And for today 's question : how fast does the average sneeze travel ?"", 'World News for Schools :12', 'January Hi there', "", I 'm Leah from the BBC World News for Schools .""]"
2011-01-14,"[""We 're back tomorrow !""]"
2011-01-25,['Dr Murray appears in court in Los Angeles 25 January 2011']
2011-02-03,"['Page last updated at 11:14 GMT , Thursday , 3 February 2011 -LRB- an error occurred while processing this directive -RRB-', ""Michael Jackson 's mother said promoters ignored signs of stress in the singer Michael Jackson 's mother can go ahead with a lawsuit claiming the promoters of his This Is It tour were responsible for his death , an LA judge has ruled ."", ""Katherine Jackson 's suit argues that AEG Live pushed the singer too far in `` gruelling rehearsals '' .""]"
2011-03-03,"['3 March 2011', ""Dr Conrad Murray faces four years in prison if convicted A US judge has delayed the involuntary manslaughter trial of Michael Jackson 's doctor , Conrad Murray , until May to allow both sides more time to prepare ."", ""Dr Murray told the judge he accepted the delay , so long as it was `` not strung along over a long period of time '' .""]"
2011-03-22,"['But the judge dismissed their claims , setting a new court date of 22 March 2011 .']"
2011-03-24,"['Opening statements , due to commence on 24 March , will now begin on 9 May .', 'Screening of prospective jurors will begin , as scheduled , on 24 March .']"
2011-05-02,"['2 May 2011', 'Michael Jackson doctor Conrad Murray trial delayed Lawyers for Dr Murray , shown in 2010 , have suggested Jackson gave himself the lethal dose', 'The trial of the doctor accused of causing the drug overdose death of pop legend Michael Jackson has been postponed until September .', 'In Los Angeles , lawyers for Dr Conrad Murray had asked for a delay to prepare for new prosecution witnesses .']"
2011-06-25,"[""Dr Conrad Murray is charged with involuntary manslaughter The superstar died on 25 June that year , a death the Los Angeles coroner subsequently attributed to `` acute propofol intoxication '' .""]"
2011-07-13,"['Is It , his hugely anticipated concert series , which was due to start at the O2 in London on 13 July .']"
2011-07-25,"[""Announcing the concert on Monday , Roger Lewis , group chief executive of the Welsh Rugby Union , which owns and operates the stadium , said the `` extra special '' concert would pay tribute to one of the world 's greatest pop icons of all time and benefit US and UK charities ."", ""Judge Michael Pastor concluded on Monday that it would not help the defense and that `` it was a waste of my time . ''"", 'But Judge Michael Pastor ruled on Monday that the film would not help the defense team and was a waste of his time .', ""25 July 2011 Rehearsal footage from Michael Jackson 's"", 'The announcement of a Michael Jackson tribute concert in Cardiff in October .', ""Two of Michael Jackson 's brothers have criticised a planned tribute concert to the pop superstar in Cardiff as `` inappropriate '' and `` ill-timed '' ."", ""Jermaine and Randy Jackson are unhappy that it will clash with the trial of Conrad Murray , the doctor charged in relation to their brother 's death ."", 'UK -LRB- an error occurred while processing this directive -RRB-']"
2011-07-26,"[""`` Today 's press conference in Los Angeles announced a tribute concert to Michael to be attended and supported by the Jackson family ."", 'The announcement of a Michael Jackson tribute concert in Cardiff in October .']"
2011-08-12,"['12th August 2011 - 23:07', 'Aguilera , Green and Robinson are expected in Cardiff for the benefit Christina Aguilera , Cee Lo Green and Motown veteran Smokey Robinson are set to perform at a tribute concert in honor of Michael Jackson .', 'More acts will be added to the bill nearer the time , organisers of the Michael Forever concert said .', ""Jackson 's brothers have protested to the timing of the event which coincides with the trial of the Dr Conrad Murray , charged over the singer 's death .""]"
2011-08-23,"['Page last updated at 07:43 GMT , Tuesday , 23 August 2011 08:43 UK -LRB- an error occurred while processing this directive -RRB-', 'Beyonce will perform at the UK Jackson tribute gig via satellite link-up']"
2011-08-24,"['Page last updated at 13:13 GMT , Wednesday , 24 August 2011 14:13 UK Interview by Debbie Randle , words by Del Crookes', ""The organiser of the Michael Jackson tribute concert is defending the event saying that they have the `` overwhelming majority '' of his family behind them ."", ""It 's after opposition from Jermaine and Randy Jackson , who say the concert should n't go ahead because it will clash with Conrad Murray 's trial .""]"
2011-08-29,"[""In court in Los Angeles on Monday , Dr Murray 's lawyer Edward Chernoff said the defense 's position was that Jackson was addicted to demerol and was withdrawing from it when he died in June 2009 ."", 'The defense plan to portray Jackson as an addict who may have given himself a lethal dose of the drug propofol .']"
2011-08-30,"[""30 August 2011 Michael Jackson 's dermatologist is barred from giving evidence at the trial ."", 'Michael Jackson judge bars skin doctor from testifying Jackson died shortly before his 50-date run of comeback concerts in London', 'The defense plan to portray Jackson as an addict who may have given himself a lethal dose of the drug propofol .', 'Michael Jackson tribute :', ""Janet Jackson to miss concert Janet Jackson said she would find it `` difficult '' to attend the tribute concert in Cardiff Janet Jackson will not be attending her brother Michael Jackson 's tribute concert in Cardiff ."", ""The singer said she would find it `` difficult '' because it coincides with the trial of the singer 's doctor .""]"
2011-09-08,"['Jury selection for the trial is due to begin on 8 September with opening arguments due to begin on 27 September .', 'The case was due to start on Thursday , but the men and women on the jury have taken longer than expected to choose .', ""Trial of Michael Jackson 's doctor to begin in America"", ""The trial of Michael Jackson 's doctor is expected to start in America in the next few days .""]"
2011-09-16,"[""Jermaine Jackson says the time before Michael 's death was a ` nightmare ' Speaking to Newsbeat on 16 September Jermaine Jackson criticised the timing of the concert which will clash with the continuing trial of Dr Conrad Murray .""]"
2011-09-20,"['`` As everyone knows , those proceedings commence September 20th , and this Michael Forever concert takes place in Cardiff , Wales , on 8 October .', '`` As everyone knows , those proceedings commence -LRB- on -RRB- 20 September and this Michael Forever concert takes place in Cardiff on 8 October .', 'The trial is due to start on Tuesday .']"
2011-09-23,"['The jurors were selected on Friday after less than six hours of questioning by Superior Court Judge Michael Pastor and lawyers for the defense and prosecution .', ""Michael Jackson : Jury chosen for Dr Conrad Murray trial Jackson died shortly before his run of comeback concerts in London had been due to start A 12-member jury has been chosen for the trial of Michael Jackson 's personal doctor - more than two years after the pop star 's death .""]"
2011-09-24,"['24 September 2011', ""Michael Jackson : Jury chosen for Dr Conrad Murray trial Jackson died shortly before his run of comeback concerts in London had been due to start A 12-member jury has been chosen for the trial of Michael Jackson 's personal doctor - more than two years after the pop star 's death ."", 'Seven men and five women were selected from a panel of nearly 400 people .', 'This involved completing a 30-page questionnaire about Jackson and the media coverage of his death in June 2009 in Los Angeles .']"
2011-09-27,"['Page last updated at 11:24 GMT , Tuesday , 27 September 2011 12:24 UK Michael Jackson announced his live concerts at the London O2 Arena in March 2009 .', 'In his speech yesterday , Ed Miliband said it was time for a new generation , and a new way of doing things .', 'Lead defense lawyer Ed Chernoff said during opening statements on 27 September that his team would try to show that Jackson gave himself the fatal dose of propofol .', 'Jackson died in June 2009 aged 50 .', 'His doctor , Conrad Murray , is on trial accused of delivering a fatal dose of the anesthetic Propofol .', 'The high profile trial in Los Angeles has attracted supporters of both Dr Conrad Murray and Michael Jackson', ""More than two years after Michael Jackson 's sudden death , the singer 's personal physician has appeared in a Los Angeles court ."", ""Michael Jackson 's doctor goes on trial Michael Jackson 's doctor has gone on trial in America , charged with causing the singer 's death .""]"
2011-09-28,"['A court hearing has been scheduled for 28 September for a decision to be made on the trust fund .', 'The next day , shortly after noon , he was discovered unconscious in his bedroom by his physician Dr Conrad Murray .', ""Page last updated at 10:39 GMT , Wednesday , 28 September 2011 11:39 UK Propofol is a fast-acting hospital sedative used before anaesthetics The trial of Michael Jackson 's physician , Doctor Conrad Murray , has begun in Los Angeles with the jury being shown images of the singer lying dead in a hospital and rehearsing the day before his death ."", ""28 September 2011 Last updated at 15:41 GMT Help Live coverage of the trial of Michael Jackson 's personal physician , Conrad Murray , who is charged with involuntary manslaughter of the singer ."", 'Inspectors from the European Commission , the European Central Bank and the International Monetary Fund will be back in Athens today after pulling out of discussions earlier this month .', 'And Otto Thoresen , Director General of the Association of British Insurers , previews the updated guidelines on executive pay it is releasing to company boards today .', ""Page last updated at 14:47 GMT , Wednesday , 28 September 2011 15:47 UK Fearne Cotton appears with Michael Jackson 's ex-band members Fearne Cotton has been announced as the co-host of next month 's Michael Jackson tribute concert ."", 'He denies charges of involuntary manslaughter .', 'A controversial property tax has been approved in Greece as part of efforts to satisfy conditions for another bailout .', 'And also on the program , how amateur astronomers have helped discover two new planets .', 'The BBC Radio 1 presenter will partner Hollywood actor and singer Jamie Foxx in fronting the Cardiff event .', ""Michael Jackson 's doctor goes on trial Michael Jackson 's doctor has gone on trial in America , charged with causing the singer 's death ."", 'Dr Conrad Murray , who was with the superstar the night he died , is accused of giving him too much of the sleeping medicine , which killed him .', 'Dr Murray denies the charge and says that Michael took the medicine himself .', ""GMT Help One of Michael Jackson 's bodyguards , Alberto Alvarez , claims that Michael Jackson 's doctor , Conrad Murray , `` grabbed a handful of vials '' and told him to `` put these in a bag '' ."", ""Michael Jackson 's sister La Toya is to step out of retirement after 20 years to perform at the Cardiff tribute concert in his name next month ."", ""His personal assistant described a `` frantic '' call from Dr Conrad Murray , and security guard Faheem Muhammad said he saw Dr Murray try to revive Jackson ."", 'Prosecutors say Dr Murray gave Jackson a lethal dose of a sedative that caused his death in June 2009 .']"
2011-09-29,"[""Michael Jackson concert : La Toya to perform in Cardiff Ms Jackson attended the trial of her late brother 's doctor in Los Angeles on Thursday"", ""29 September 2011 Last updated at 15:44 GMT Help Live coverage of the trial of Michael Jackson 's personal physician , Dr Conrad Murray , who is charged with involuntary manslaughter of the singer ."", ""29 September 2011 Last updated at 04:16 GMT Help A key aide and a security guard have told the manslaughter trial of Michael Jackson 's doctor of events on the day the superstar died ."", ""The doctor maintained his innocence throughout the trial 29 September 2011 Jackson 's bodyguard , Alberto Alvarez , testifies that on the night Jackson died , Dr Murray ordered him to pick up vials of medicine before phoning for an ambulance ."", ""GMT Help One of Michael Jackson 's bodyguards , Alberto Alvarez , claims that Michael Jackson 's doctor , Conrad Murray , `` grabbed a handful of vials '' and told him to `` put these in a bag '' ."", ""Michael Jackson 's sister La Toya is to step out of retirement after 20 years to perform at the Cardiff tribute concert in his name next month ."", ""His personal assistant described a `` frantic '' call from Dr Conrad Murray , and security guard Faheem Muhammad said he saw Dr Murray try to revive Jackson ."", ""Alberto Alvarez , who was the first to arrive in Jackson 's bedroom when Dr Conrad Murray called for help , said he did n't question the doctor ."", 'Dr Murray denies a charge of involuntary manslaughter .']"
2011-09-30,"[""30 September 2011 Last updated at 06:15 GMT Help Michael Jackson 's doctor told the performer 's bodyguard to pick up vials of medicine before phoning for help on the day he died , his trial has heard ."", ""Alberto Alvarez , who was the first to arrive in Jackson 's bedroom when Dr Conrad Murray called for help , said he did n't question the doctor ."", 'Dr Murray denies a charge of involuntary manslaughter .']"
2011-10-01,"[""The star said she was `` thrilled '' to be part of the show which will take place in Cardiff 's Millennium Stadium on Saturday 8 October ."", ""The stadium has been set a capacity of 60,000 for Saturday 's show , with the first act on stage at 18:00 BST ."", ""Michael Jackson 's brothers speak about `` celebrating the legacy '' of their brother ahead of Saturday night 's memorial concert in Cardiff Organisers said 40,000 tickets have now been sold ahead of Saturday night 's stadium concert in Cardiff in memory of Michael Jackson ."", ""Doors open at 16:00 BST for Saturday 's show , with the first act on stage at 18:00 BST .""]"
2011-10-04,"[""4 October 2011 Dr Thao Nguyen , an emergency room cardiologist says she and a colleague tried to resuscitate Jackson for more than an hour at Dr Murray 's insistence but believed the efforts were futile ."", 'Jackson says the shows in London will be for children as he did not have a childhood .']"
